--------- beginning of main
         1789819636.906 19369 19369 I OD_LAB  : REC1_START
         1789819637.101 18025 18403 I OD_LAB  : SPARK combo=5
         1789819637.102 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819638.410 18025 18403 I OD_LAB  : SPARK combo=5
         1789819638.410 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819639.607 18025 18403 I OD_LAB  : SPARK combo=5
         1789819639.608 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819645.108 18025 18403 I OD_LAB  : SPARK combo=5
         1789819645.108 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819646.141 18025 18403 I OD_LAB  : SPARK combo=5
         1789819646.141 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819648.259 18025 18403 I OD_LAB  : SPARK combo=5
         1789819648.260 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819649.841 18025 18403 I OD_LAB  : SPARK combo=5
         1789819649.842 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819652.359 18025 18403 I OD_LAB  : SPARK combo=5
         1789819652.359 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819652.858 18025 18403 I OD_LAB  : SPARK combo=5
         1789819652.859 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819655.891 18025 18403 I OD_LAB  : SPARK combo=5
         1789819655.892 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819657.491 18025 18403 I OD_LAB  : SPARK combo=5
         1789819657.492 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819658.059 18025 18403 I OD_LAB  : SPARK combo=5
         1789819658.060 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819660.075 18025 18403 I OD_LAB  : SPARK combo=5
         1789819660.076 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819660.728 18025 18403 I OD_LAB  : SPARK combo=5
         1789819660.728 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819661.225 18025 18403 I OD_LAB  : SPARK combo=5
         1789819661.225 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819663.226 18025 18403 I OD_LAB  : SPARK combo=5
         1789819663.226 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819664.408 18025 18403 I OD_LAB  : SPARK combo=5
         1789819664.409 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819666.544 18025 18403 I OD_LAB  : SPARK combo=5
         1789819666.545 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819667.975 18025 18403 I OD_LAB  : SPARK combo=5
         1789819667.976 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819669.609 18025 18403 I OD_LAB  : SPARK combo=5
         1789819669.610 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819670.060 18025 18403 I OD_LAB  : SPARK combo=5
         1789819670.060 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819670.643 18025 18403 I OD_LAB  : SPARK combo=5
         1789819670.644 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819671.209 18025 18403 I OD_LAB  : SPARK combo=5
         1789819671.209 18025 18403 I OD_LAB  : TAP after spark -> ring 1
